caseIndex,scenario,seed,variability,time,clearance,verticalSpeed,relativeX,relativeZ,deckDistance,relativeVx,relativeVz,requestedThrottle,appliedThrottle,requestedSelector,appliedSelector,engineBank,engineHealth,fuel,requestedPitchGimbal,requestedRollGimbal,requestedPitchRcs,requestedRollRcs,requestedYawRcs,pitch,roll,pitchGimbal,rollGimbal,pitchRcs,rollRcs,yawRcs
0,7,641145,0,0,377.7270217745099,-18.40267371525988,-45.435401393782854,30.58567110148865,54.77096837324134,0.07065233404879456,1.7154671054415906,0.4057647718079039,0,1,0,1,1,1,0.002752881274978427,-0.0011654734733334842,-0.09711812938862217,0.13680979076480446,-0.00028940347892417536,-0.04595253653824329,0.04118652515113354,0,0,0,0,0
0,7,641145,0,0.15000000000000002,374.90833273332026,-18.832325418082412,-45.39370973440765,30.832101000544792,54.874468886354165,0.39134558614022397,1.6112434785845338,0.6836808483908389,0.4057647718079039,1,0.375,1,1,0.9993153881825536,-0.0028251429782550383,-0.0013253810581221397,0.5592118856563526,-0.42475085442169663,0.001310064780902806,-0.04957381579529696,0.04625462482132459,0.002752881274978427,-0.0011654734733334842,-0.09711812938862217,0.13680979076480446,-0.00028940347892417536
0,7,641145,0,0.3,372.1606285960707,-17.98423261709326,-45.30780888926506,31.069930058418244,54.93758367621539,0.6760850467051187,1.5734377696234887,0.5314045366978496,0.6836808483908389,1,0.75,1,1,0.997776887007682,-0.004505298811547684,-0.0028508076216526767,0.48054347982215473,-0.5130287229446572,-0.000889081277854536,-0.03960420944931783,0.04169762979544597,-0.0028251429782550383,-0.0013253810581221397,0.5592118856563526,-0.42475085442169663,0.001310064780902806
0,7,641145,0,0.44999999999999996,369.66198533753175,-15.485135748005685,-45.17715441944074,31.30261275214871,54.96206734238603,0.9782975444888952,1.542677724295354,0.10267300792058254,0.5314045366978496,1,1,3,1,0.9951392994563062,-0.012980600747080507,0.0038023067372868063,-0.21615355303352304,-0.15010253802160914,-0.00022498777726451117,-0.002180456390908355,0.0109814921340945,-0.004505298811547684,-0.0028508076216526767,0.48054347982215473,-0.5130287229446572,-0.000889081277854536
0,7,641145,0,0.6,367.46034006819434,-14.709090692037156,-44.9919406724505,31.52135478003705,54.93514842650623,1.384750542522765,1.400826290748026,0.26490108465186135,0.10267300792058254,1,1,3,1,0.9936510967271683,-0.014461839141973423,0.0077106207857997175,-0.25257275088720194,0.18334281573681618,-0.0005376511416165684,0.04045397245932113,-0.03279563465536625,-0.012980600747080507,0.0038023067372868063,-0.21615355303352304,-0.15010253802160914,-0.00022498777726451117
0,7,641145,0,0.7500000000000001,365.3503559409623,-13.726933769159233,-44.737671121425215,31.706554636009997,54.833975090769144,1.8668713171265887,1.135766044733826,0.11922890905512995,0.26490108465186135,1,1,3,1,0.9920235483585418,-0.006852284194239938,-0.0003236723137465226,-0.3051758693728207,0.1260813765696968,-5.22245498402516e-05,0.06765168321257026,-0.06991676789616333,-0.014461839141973423,0.0077106207857997175,-0.25257275088720194,0.18334281573681618,-0.0005376511416165684
0,7,641145,0,0.9000000000000002,363.2566101010771,-14.074323425055608,-44.415596122580794,31.85066741578047,54.65537662256911,2.2949411436308256,0.865125571262172,0.2214452987155794,0.11922890905512995,1,1,3,1,0.9912795599660377,-0.0069661915618497924,-0.002102087314466567,0.07054010055967443,0.18847858642465268,0.000631308418390192,0.07757266928456194,-0.09674607240267216,-0.006852284194239938,-0.0003236723137465226,-0.3051758693728207,0.1260813765696968,-5.22245498402516e-05
0,7,641145,0,1.0500000000000003,361.20554218413895,-13.47403841080249,-44.02820758755672,31.939252316341104,54.39300416321834,2.7315161231921454,0.44404773225619953,0.13612624502118537,0.2214452987155794,1,1,3,1,0.9898977413020525,-0.008035091754495696,-0.005477831135974945,-0.19049790287666743,0.1767523014888972,-7.65663722331876e-05,0.08371758786368969,-0.1125028756241011,-0.0069661915618497924,-0.002102087314466567,0.07054010055967443,0.18847858642465268,0.000631308418390192
0,7,641145,0,1.2000000000000004,359.16487256244994,-13.66976577391816,-43.587285772033525,31.969072863250496,54.05435320775502,3.04622272690823,0.06958592523790386,0.19452608919448994,0.13612624502118537,1,1,3,1,0.9890483135331205,-0.007062875245775414,-0.005730417489428407,-0.03823202212265641,0.14484072064615372,0.0001703392021947614,0.08393469114974345,-0.11716073874135702,-0.008035091754495696,-0.005477831135974945,-0.19049790287666743,0.1767523014888972,-7.65663722331876e-05
0,7,641145,0,1.3500000000000005,357.14903904945743,-13.323305765255826,-43.10397187008502,31.93290032616652,53.64384880131148,3.310887550298977,-0.40198980051168975,0.14584168429054772,0.19452608919448994,1,1,3,1,0.987834470736547,-0.006703351155399441,-0.007955653344660215,-0.14809184378725615,0.10884639326167708,-5.194398057960739e-05,0.07953534029980461,-0.11277655185741481,-0.007062875245775414,-0.005730417489428407,-0.03823202212265641,0.14484072064615372,0.0001703392021947614
0,7,641145,0,1.5000000000000007,355.1401023295593,-13.427408521029875,-42.593428208471025,31.829538154002,53.17254578866094,3.4503234048938154,-0.837495282031776,0.1895738517676801,0.14584168429054772,1,1,3,1,0.986924418626574,-0.007824545709164616,-0.0058569836500012105,-0.10594106149368693,0.13740272745962057,0.0001036219447468726,0.06948089794365522,-0.1018232764435556,-0.006703351155399441,-0.007955653344660215,-0.14809184378725615,0.10884639326167708,-5.194398057960739e-05
0,7,641145,0,1.6500000000000008,353.15664290780285,-13.120382913698524,-42.069977580110724,31.655507155103763,52.64935086815263,3.5088702758602714,-1.3247479461431642,0.15457829476693186,0.1895738517676801,1,1,3,1,0.9857414777915438,-0.007960257131082442,-0.0060294992659630856,0.02167266104627254,0.016892582890412768,1.5143295689028774e-05,0.053759073189135656,-0.08433296181673139,-0.007824545709164616,-0.0058569836500012105,-0.10594106149368693,0.13740272745962057,0.0001036219447468726
0,7,641145,0,1.800000000000001,351.187012292215,-13.135716307611167,-41.54907090754855,31.411741898132398,52.08668565339307,3.455889085679691,-1.778477738801404,0.18233517641285601,0.15457829476693186,1,1,3,1,0.984776909232198,-0.01007257284736488,-0.003902979776884722,0.005188561436419243,0.019446376484771814,9.751622236230406e-05,0.03821821852710029,-0.06469967367156361,-0.007960257131082442,-0.0060294992659630856,0.02167266104627254,0.016892582890412768,1.5143295689028774e-05
0,7,641145,0,1.950000000000001,349.24141480741775,-12.887810168737683,-41.043842338169156,31.09873201675888,51.49493302190683,3.3274152302719457,-2.2432158088879897,0.15733365934441912,0.18233517641285601,1,1,3,1,0.9836391377313817,-0.00827161273081272,-0.0018136932325421272,-0.05945248998004205,-0.043937885870194246,3.0270254341398193e-05,0.024604323691416078,-0.04518625625122477,-0.01007257284736488,-0.003902979776884722,0.005188561436419243,0.019446376484771814,9.751622236230406e-05
0,7,641145,0,2.1000000000000005,347.30980611001485,-12.872008426462202,-40.56398518101621,30.71841989867862,50.882788984461506,3.140269602480527,-2.684209886408963,0.17994595511287909,0.15733365934441912,1,1,3,1,0.9826573756970725,-0.008743109805127373,0.001766049121089936,-0.08235905902998784,0.00045816681693191993,0.00014818371443654852,0.010073533969388317,-0.028149903365733035,-0.00827161273081272,-0.0018136932325421272,-0.05945248998004205,-0.043937885870194246,3.0270254341398193e-05
0,7,641145,0,2.25,345.40192548215015,-12.642739421150074,-40.11648305373238,30.27277895504635,50.2570727187875,2.911504624281922,-3.1162717427566378,0.1526701706461206,0.17994595511287909,1,1,3,1,0.981534512937168,-0.004234964332978541,0.003992351211430367,0.13129127880300012,-0.10307997667511092,7.794157118263552e-05,-0.007325454023542916,-0.013037413897171134,-0.008743109805127373,0.001766049121089936,-0.08235905902998784,0.00045816681693191993,0.00014818371443654852
0,7,641145,0,2.3999999999999995,343.50286398881923,-12.669242209797916,-39.705036958391176,29.764321692085915,49.622623929586645,2.66791892535037,-3.5286985982831367,0.18542812471072762,0.1526701706461206,1,1,3,1,0.9805818510723362,-0.00986651649385751,0.007128335480685017,0.022122323141415746,0.012786013253415222,1.4287049596727103e-05,-0.02002820795671187,-0.0028217115397201984,-0.004234964332978541,0.003992351211430367,0.13129127880300012,-0.10307997667511092,7.794157118263552e-05
