arm,generation,candidateIndex,caseIndex,seed,scenario,activationGain,score,landed,styleBonus,styleRecovered,turnDegrees,reason,variation,touchdown,time,orbitComplete,orbits,maxAltitude,milestones,insertionQuality,insertionReward,insertionHoldQuality,insertionHoldReward,longestStrictInsertionHoldSeconds,conditionalPeriapsis,conditionalPeriapsisEligibleSeconds,strictInsertionHoldProgress,conditionalPeriapsisProgress,censored
"""standard""",1,0,0,714133,24,1,-483.70353666020577,false,0,false,-0.04113986199197789,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,154.14999999999714,false,0,12008.601614937394,"[{""name"":""Launch"",""time"":1.7500000000000009,""altitude"":4.16126340092886},{""name"":""Space"",""time"":106.64999999999714,""altitude"":816.3334401808662}]",0.8138930675728293,1176.6716810873952,0.05182883947068014,262.1946073648162,0,227.0936899802382,1.899999999999892,0,0.9157490720559174,false
"""standard""",1,0,1,553619,25,1,-484.1077956287261,false,0,false,-0.06333359644570644,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":1.083884693447206,""thrust"":1.016267903124684,""servo"":1.2656766754682975,""wind"":0.8935277738499552,""deck"":1.0097203840138167,""noise"":0.004}",null,167.04999999999654,false,0,12070.75487988779,"[{""name"":""Launch"",""time"":1.950000000000001,""altitude"":4.181085905816465},{""name"":""Space"",""time"":119.29999999999656,""altitude"":816.4227098106346}]",0.7911404498030159,1149.368539763619,0.04009544904400348,248.11453885280417,0,null,0,0,0,false
"""standard""",1,0,2,564010,26,1,-488.2668979968462,false,0,false,0.06405102908096022,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,167.5499999999965,false,0,12029.483302200044,"[{""name"":""Launch"",""time"":1.7000000000000008,""altitude"":4.099285333482667},{""name"":""Space"",""time"":119.7999999999965,""altitude"":806.1792474700214}]",0.7877951646482192,1145.354197577863,0.05413125480254511,264.95750576305414,0,235.88385042007576,2.0499999999998835,0,0.9170417427088347,false
"""standard""",1,0,3,574401,24,1,-479.5997572086278,false,0,false,-0.0013219468369234243,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":0.9880963761575715,""thrust"":0.9758886126282802,""servo"":1.0354448425912663,""wind"":1.0759237686473,""deck"":1.0029663443630197,""noise"":0.004}",null,155.64999999999714,false,0,12036.75734421915,"[{""name"":""Launch"",""time"":1.800000000000001,""altitude"":4.19070933548139},{""name"":""Space"",""time"":108.14999999999715,""altitude"":804.80165305304}]",0.8104482697836413,1172.5379237403695,0.046589908456971744,255.9078901483661,0,238.22034909041122,1.3999999999999204,0,0.9173853454544723,false
"""standard""",1,0,4,584792,25,1,-480.9275728424748,false,0,false,-0.0664441172171605,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,153.8999999999972,false,0,12038.392134875676,"[{""name"":""Launch"",""time"":1.7500000000000009,""altitude"":4.174968038052775},{""name"":""Space"",""time"":106.1499999999972,""altitude"":802.1537914040715}]",0.797182590314116,1156.619108376939,0.046973469036135695,256.3681628433628,0,226.71947824060953,0.75,0,0.9156940409177367,false
"""standard""",1,0,5,595183,26,1,-487.5004728738158,false,0,false,0.0435454461957369,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":0.9232269751103548,""thrust"":1.0010613402122572,""servo"":0.9288705509315058,""wind"":0.8966846210417573,""deck"":0.9705989637064307,""noise"":0.004}",null,157.249999999997,false,0,12034.030138922517,"[{""name"":""Launch"",""time"":1.5000000000000007,""altitude"":4.068541736435927},{""name"":""Space"",""time"":110.24999999999699,""altitude"":802.7373496941386}]",0.7962060612511067,1155.447273501328,0.043915786472485195,252.69894376698224,0,227.09068802717866,1.3999999999999204,0,0.9157486305922321,false
"""standard""",1,1,0,714133,24,1,-477.3314280771646,false,0,false,-0.44392798630547264,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,69.30000000000013,false,0,12111.812157101896,"[{""name"":""Launch"",""time"":1.5000000000000007,""altitude"":4.096897173649904},{""name"":""Space"",""time"":32.550000000000125,""altitude"":818.6227907866783}]",0.20346852903944257,444.1622348473311,1.783477085485695e-15,200.00000000000213,0,null,0,0,0,false
"""standard""",1,1,1,553619,25,1,-479.02529164645256,false,0,false,-0.3794607896754519,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":1.083884693447206,""thrust"":1.016267903124684,""servo"":1.2656766754682975,""wind"":0.8935277738499552,""deck"":1.0097203840138167,""noise"":0.004}",null,73.70000000000016,false,0,12129.670320822994,"[{""name"":""Launch"",""time"":1.6000000000000008,""altitude"":4.010907947095127},{""name"":""Space"",""time"":35.45000000000016,""altitude"":813.4868801013614}]",0.19811662083662562,437.73994500395077,1.0344757203932832e-15,200.00000000000125,0,null,0,0,0,false
"""standard""",1,1,2,564010,26,1,-478.3542993557344,false,0,false,-0.4561838125006912,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,67.85000000000011,false,0,12044.357294549618,"[{""name"":""Launch"",""time"":1.5000000000000007,""altitude"":4.2418494751802704},{""name"":""Space"",""time"":30.850000000000115,""altitude"":806.6971097262308}]",0.2699772083907564,523.9726500689077,1.0891177141457493e-15,200.0000000000013,0,null,0,0,0,false
"""standard""",1,1,3,574401,24,1,-477.30057451389024,false,0,false,-0.352621448436294,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":0.9880963761575715,""thrust"":0.9758886126282802,""servo"":1.0354448425912663,""wind"":1.0759237686473,""deck"":1.0029663443630197,""noise"":0.004}",null,70.60000000000014,false,0,12094.94918885721,"[{""name"":""Launch"",""time"":1.5500000000000007,""altitude"":4.254321422211921},{""name"":""Space"",""time"":32.850000000000136,""altitude"":810.9023974972782}]",0.19816011398113248,437.79213677735896,1.0364821443631613e-15,200.00000000000125,0,null,0,0,0,false
