model,mode,caseIndex,scenario,seed,variability,landed,reason,score,time,turnDegrees,error,speed,lateral,tilt,positionMargin,speedMargin,lateralMargin,tiltMargin
candidate,normal,0,0,95638071,0,True,Touchdown,89.66689558590068,19.750000000000146,0.04524155524108725,2.5433493651727086,2.5153077365385483,0.286140706591607,0.031173802908016107,8.456650634827291,1.0846922634614518,2.713859293408393,0.1688261970919839
candidate,normal,1,1,95742800,0,True,Touchdown,79.24557261486555,31.700000000000315,0.15155707559520107,4.089321539315252,2.2049101280210794,1.143566284143943,0.03266250309304454,6.910678460684748,1.3950898719789206,1.856433715856057,0.16733749690695549
candidate,normal,2,2,95847529,0,True,Touchdown,47.57276046219954,40.04999999999986,0.10370960539564864,8.77901595177468,1.838438711575956,0.47357954418797005,0.049512773205422085,2.2209840482253203,1.7615612884240441,2.52642045581203,0.15048722679457793
candidate,normal,3,3,95952258,0,False,Lateral impact,-92.60642790730998,34.900000000000155,0.08596393116079094,1.7842449225768178,2.190346825372339,3.5311941710969372,0.02548467707327357,9.215755077423182,1.4096531746276613,-0.5311941710969372,0.17451532292672645
candidate,normal,4,4,96056987,0,False,Lateral impact,-110.4367254590455,40.549999999999834,0.03811961573948231,3.468192359450541,2.0745792581823994,3.7673190472007474,0.09510001794337954,7.531807640549459,1.5254207418176007,-0.7673190472007474,0.10489998205662047
candidate,normal,5,5,96161716,0,False,Lateral impact,-116.14255931232495,43.94999999999964,0.044740304761902584,8.181674397453548,1.9027913801159244,4.578233564313714,0.12740439855909935,2.8183256025464516,1.6972086198840757,-1.578233564313714,0.07259560144090066
candidate,normal,6,6,96266445,0,False,Missed the ship,-102.44156763810636,39.3499999999999,0.03843144711286896,13.382907883026892,2.9924861602651363,1.5221248243810908,0.13802486896821256,-2.382907883026892,0.6075138397348638,1.4778751756189092,0.06197513103178745
candidate,normal,7,7,96371174,0,False,Hard landing,-103.86505950336255,38.599999999999945,-0.062380293222249326,5.8560820290648055,3.9777557876705485,3.196778273114238,0.16165743185382972,5.1439179709351945,-0.3777557876705484,-0.196778273114238,0.03834256814617029
candidate,normal,8,8,96475903,0,True,Touchdown,62.81667906040671,30.050000000000292,0.04757241783476319,6.690871281154207,2.587920791224195,0.896566792591066,0.043522081332323145,0.30912871884579296,1.012079208775805,2.103433207408934,0.15647791866767685
candidate,normal,9,9,96580632,0,True,Touchdown,58.300643085541644,32.05000000000032,0.10199861619915297,8.163326627415442,2.298894125906647,0.8372451755291154,0.057773925185891736,2.836673372584558,1.301105874093353,2.1627548244708845,0.14222607481410826
candidate,normal,10,10,96685361,0,False,Missed the ship,-92.69982410826273,36.35000000000007,0.08947202749652447,11.978933324789644,1.9132847877333974,0.6782564749268187,0.13009211049564146,-0.9789333247896437,1.6867152122666027,2.321743525073181,0.06990788950435856
candidate,normal,11,11,96790090,0,False,Missed the ship,-96.93124654497913,36.650000000000055,-0.0011711582405388836,11.991979534280514,2.2558222982725913,0.7294280341675018,0.21326943461810702,-0.9919795342805138,1.3441777017274088,2.2705719658324983,-0.013269434618107007
candidate,normal,12,12,96894819,0,True,Touchdown,48.399422285606185,34.95000000000015,-0.022818573865384845,6.831451514355136,2.4636795640011817,1.4219379770498584,0.10749998790539866,4.168548485644864,1.1363204359988184,1.5780620229501416,0.09250001209460135
candidate,normal,13,13,96999548,0,False,Missed the ship,-146.38885045513535,37.15000000000003,0.04632772698621361,58.92993671631726,1.9174951935262798,1.6271316455725238,0.1640723266154246,-47.92993671631726,1.6825048064737202,1.3728683544274762,0.03592767338457542
candidate,normal,14,14,97104277,0,True,Touchdown,74.70525995747639,34.60000000000017,-0.0779455866696259,3.704193062856297,1.1035842985344275,1.3497592429456033,0.04277154523663583,7.295806937143703,2.4964157014655726,1.6502407570543967,0.15722845476336417
candidate,normal,15,15,97209006,0,True,Touchdown,55.48042509414444,34.0500000000002,0.05771164910867792,7.1846001073203825,1.8311813910069359,1.0015789477644812,0.0581715331893047,3.8153998926796175,1.7688186089930642,1.9984210522355188,0.1418284668106953
candidate,normal,16,16,97313735,0,True,Touchdown,48.25713467191127,37.6,-0.011883020450917981,10.756773195219015,1.9778243295426765,1.0186605228081398,0.020346254533456294,0.2432268047809849,1.6221756704573236,1.9813394771918602,0.17965374546654372
candidate,normal,17,17,97418464,0,True,Touchdown,36.9998587564162,42.24999999999974,18.337080584400827,9.830737129489828,1.9524245558600453,1.531736618487805,0.03695385305523235,1.1692628705101722,1.6475754441399548,1.468263381512195,0.16304614694476766
candidate,normal,18,18,97523193,0,True,Touchdown,22.191650456388743,57.54999999999887,0.16414005349291244,6.300244693152847,2.061797949026574,1.8929882333695776,0.10676643983565881,4.699755306847153,1.538202050973426,1.1070117666304224,0.0932335601643412
candidate,normal,19,19,97627922,0,False,Lateral impact,-117.83005702071179,43.44999999999967,0.08173707154175454,5.830867971649555,2.3611883198928463,4.188141742690338,0.19105533781677123,2.169132028350445,1.2388116801071538,-1.1881417426903376,0.008944662183228785
candidate,normal,20,20,97732651,0,True,Touchdown,55.971779664158454,37.99999999999998,0.07315442749716122,9.05503359701221,2.661436935720541,1.361650321672788,0.00877427550840654,1.9449664029877898,0.9385630642794589,1.638349678327212,0.19122572449159347
candidate,normal,21,21,97837380,0,True,Touchdown,52.28112934050202,38.79999999999993,0.09845170348739195,4.807114920240355,3.1047781709590776,1.2742861370835108,0.043410095841530806,6.192885079759645,0.4952218290409225,1.7257138629164892,0.1565899041584692
candidate,normal,22,22,97942109,0,False,Missed the ship,-93.87932848712566,37.25000000000002,-0.03993806504017494,11.511991783836747,3.797085784689663,2.2867979507096448,0.043229764589666854,-0.5119917838367467,-0.19708578468966298,0.7132020492903552,0.15677023541033316
candidate,normal,23,23,98046838,0,False,Lateral impact,-107.16009331960977,40.64999999999983,-0.12637153324590897,3.1631723879973426,3.4838858279650253,3.3216045285478284,0.06445547928066604,7.836827612002658,0.11611417203497476,-0.3216045285478284,0.13554452071933398
candidate,normal,24,0,98151567,0.4,True,Touchdown,86.54637334855619,23.150000000000194,0.06213727593499872,0.5306224087297492,2.122502918915872,0.5142113605354907,0.008855750850772955,10.46937759127025,1.477497081084128,2.4857886394645092,0.19114424914922706
candidate,normal,25,1,98256296,0.4,True,Touchdown,84.5397759404693,29.95000000000029,0.07313855334485662,4.146733149903894,2.5730305932581343,1.3378509094107665,0.060954360764279084,6.853266850096106,1.0269694067418658,1.6621490905892335,0.13904563923572094
candidate,normal,26,2,98361025,0.4,True,Touchdown,40.167710426445645,42.14999999999974,0.1396674700055299,0.5518564022658977,1.5556451038933945,1.646286829871017,0.025255175230564628,10.448143597734102,2.0443548961066056,1.353713170128983,0.17474482476943537
candidate,normal,27,3,98465754,0.4,True,Touchdown,49.40567860887701,36.650000000000055,0.0018052748147459729,9.57380014761717,1.9761997161199454,2.3092336314495108,0.024158194846472157,1.4261998523828296,1.6238002838800547,0.6907663685504892,0.17584180515352785
candidate,normal,28,4,98570483,0.4,False,Lateral impact,-112.9883544988691,42.04999999999975,0.045558333858705904,3.0378985144335133,2.1087225516313737,4.449148423489982,0.08728705256838987,7.962101485566487,1.4912774483686264,-1.4491484234899819,0.11271294743161014
candidate,normal,29,5,98675212,0.4,True,Touchdown,35.45764113649362,43.499999999999666,0.06299707337341903,9.387550766178094,2.4105288313476954,1.3880675426369855,0.15437366601318947,1.6124492338219056,1.1894711686523047,1.6119324573630145,0.04562633398681054
candidate,normal,30,6,98779941,0.4,False,Lateral impact,-112.52756390833866,38.54999999999995,0.038599907681231,6.243416420803985,3.0086938574209596,5.505003804178437,0.0957594977726148,4.756583579196015,0.5913061425790405,-2.505003804178437,0.1042405022273852
candidate,normal,31,7,98884670,0.4,False,Hard landing,-133.55244755548907,37.99999999999998,-0.006520725457507526,8.492850110237875,3.908623045477562,6.843894948800277,0.13207313377877125,2.5071498897621254,-0.30862304547756203,-3.843894948800277,0.06792686622122876
candidate,normal,32,8,98989399,0.4,True,Touchdown,58.93707424242978,32.50000000000029,0.03713640640842145,4.198697357118948,1.8568626112678026,1.0408523555543985,0.039442138887514834,2.801302642881052,1.7431373887321975,1.9591476444456015,0.16055786111248518
